from,to
POU2F1,SLC4A7
TFAP4,DAGLA
ISX,SPOCK2
FOXF2,TRAK2
RUNX1,BCL11B
TBP,SCG2
ARNTL,RABEP1
BACH1,SPRR1A
HBP1,ATP1A1
PRDM1,ADAMTS6
PITX3,NPEPPS
KLF7,CDK2
POU,SLCO1A2
CTCF,LOH12CR1
NR4A2,C9orf24
DRGX,ARVCF
ERG,XBP1
KLF7,OPTN
HOXD13,HEMK1
E2F1,NUFIP2
BHLHE22,C10orf25
SPIB,HOOK2
SP1,NAV1
HSF1,KCNJ6
ERG,EBF1
NKX2-5,CEP41
KLF16,MAPRE1
USF,DCAF15
EGR4,SPATA24
GABPA,TOR1B
RXRA,PPP1R17
ELK3,PET100
BCL6B,PPFIA2
JDP2,CASP8
PRRX2,C20orf196
ATF1,RNF7
KLF4,JPH2
LBX2,TGFB2
FEV,CPSF3
ELF4,TANGO2
TEAD3,MAMDC2
FOXO3,NXPH1
BCL6B,PLEKHB1
ERG,ZBTB6
SP1,SLC28A3
HOXD8,KLF6
EGR,SNCAIP
ETS,GLIS3
PPARA,SNX32
LEF1,FTH1
ELF1,PDE1A
TFEC,YJEFN3
HIC2,SFTPA2
RFX1,KCNAB1
ATF1,ZNF182
NR2F1,REC8
ID4,CORO2B
DLX4,FXYD6-FXYD2
PITX1,PDE1A
CREB1,UBQLN1
ZNF281,CSRNP1
RFX7,CNNM4
JDP2,HIVEP1
ONECUT1,CD109
MZF1,HOXC10
ELK1,ZNF79
ELK4,DAPK3
TFAP2B,PTPRU
EWSR1,VEPH1
NKX2-5,HOXC4
TCF3,FAM131C
ETV7,NIF3L1
ISL2,ATP10B
HOXC9,UQCR11
SOX14,PLS1
FEV,SLA
GTF2I,NSG2
SP1,NOTCH4
POU3F2,GTF2IRD1
SP1,TINF2
ZEB1,CDH8
NR2F6,MCTP1
ETS1,PSMD13
MYF6,ATF3
PITX2,GRB10
BARX2,PCDH15
RARA,ASB16
DLX1,CELF4
HOXA2,MAB21L1
RFX3,C4orf27
HF1H3B,ERG
EHF,KIAA0907
ELK3,DPP8
ETS,LIMK2
ERG,INTS3
SP4,SGSM2
CTCF,AARS2
SPIC,PSMA1
KLF14,TGFB1I1
AP1,SLC11A2
TFAP2B,SH2B2
ZEB1,DLG3
