from,to
TGIF2,APLN
SP8,SPRYD7
KLF12,GLRX5
MYEF2,MSI2
ELK1,ZFP1
GABPA,AP4E1
ARNT,TBCEL
BHLHE40,TCEAL3
SP1,CTTNBP2
KLF7,SNAP29
TLX2,PCMTD1
MAFB,EIF4E3
SP1,KCNIP2
SP1,ARHGAP22
SCRT1,KDM6A
EGR3,SLC17A7
MEOX1,PLEKHA8
NFE2,NDRG4
EN2,MGAT4C
NR4A2,NFIB
SCRT1,RYBP
KLF7,SAMD3
BARHL2,GPR37L1
SP1,TMEM170A
PHOX2B,IGSF23
TBR1,INHBA
MAFB,SLC32A1
EVX1,CREB5
HOXB5,CGA
SP1,FAM46C
ZBTB14,KIF2A
TCF3,HOXA7
HBP1,LIPG
HF1H3B,GALP
HNF1B,CHEK2
GATA,WARS
PKNOX1,LHX6
POU6F1,ATP9B
GABPA,TRMU
FOXJ2,C9orf72
E2F2,ALS2CL
ELK1,NDUFAF4
ELF2,SYCE1L
USF,SYT13
KLF4,RHBG
MESP1,RPS11
ZNF143,EOMES
KLF7,HNRNPUL2
PROP1,IL1R1
ERG,TBK1
SP1,ZNF581
SOX8,SLC30A9
LMO2,CABP2
JDP2,CHAF1A
HNF4A,CD276
SPI1,MYO5A
CPEB1,GSX2
EBOX,PSD
ZNF281,CREBL2
FOXK1,AVP
HOXC11,UBR1
FEV,PAFAH1B2
ERG,PEX2
RFX2,XAB2
HF1H3B,MAP7D2
RUNX1,RGS13
FOXJ1,NADK2
PPARG,MTUS1
SOX11,PHF5A
ERG,LRRC41
SP8,SLITRK4
HNF4,SLC45A3
GSC,JUN
SP1,ST6GAL1
GLI2,LIMK2
GLIS2,THAP11
POU5F1,RBL2
RREB1,FAM57B
EN2,RASSF4
KLF14,ALAD
MAFK,CSMD1
RORA,GTDC1
SOX4,SYT11
SP1,C12orf49
MEF2A,CACUL1
EGR,GPR98
ETV7,SLU7
POU3F2,LPHN2
KLF16,HSP90AA1
EGR,DYNC1I1
HNF1A,ABCA10
CREB5,CTNNA1
HOXA3,NRXN3
RFX4,LCORL
NFIC,RGN
RFX2,FAM47E-STBD1
PAX7,SGTB
ASCL2,ZNF595
RFX2,DDX17
PPARA,BUD13
POU3F3,HIVEP3
NRF1,AKT1S1
NFE2,GIT1
KLF4,MFAP4
RFX4,CENPH
CEBP,PAM
ISX,SRI
TFE3,THUMPD2
GABPA,ZNF226
EGR,RBX1
EHF,DEK
KLF16,DLEU1
CTCF,ZNF841
TGIF2LX,DPH1
FLI1,CXCR2
KLF4,PTGER3
ELF1,PROX1
HOXD13,BTC
RFX4,IL34
SOX13,EMCN
CEBPG,DMXL2
SP1,MAP3K10
NFKB2,PRRX1
FOXA1,C14orf105
TBX20,ZNF462
NFKB,ASPDH
TCF3,S100A16
KLF16,GPR17
PITX3,RYR3
ELK1,MRPS22
RXRG,RPS6KA2
SP4,NDRG2
FLI1,G6PD
EN1,CD34
RARA,FBXW7
TFE3,MRPS18C
POU2F3,L3MBTL4
MSX1,CALCOCO1
EGR,GAMT
ERG,PRR3
HOXD10,TMBIM4
HDX,KRTAP3-2
HDX,ZDHHC18
NRF1,SEC31B
SP3,FPGT-TNNI3K
EBOX,PROX1
NFKB1,RRP8
HNF1A,BLOC1S6
KLF12,TNFAIP8L1
CDX,SCRN1
RUNX2,KCTD15
SOX2,C14orf23
FOXL1,C7orf63
HOXB13,DNMT3A
STAT1,PAAF1
FOXJ2,SYCE2
EOMES,REM2
MAFB,MLLT10
RUNX3,TMED10
RXRA,TAF2
RAX,GCNT2
GABP,CLPTM1L
RFX5,OVCA2
GSX2,KIAA1549
ESRRG,NXPH4
FOXJ3,TFDP2
HOXA10,SLC8A1
GLI,DVL2
SP1,ATP1B2
SP4,VPS37D
CACBP,VASH1
EGR1,PATL1
IRX3,ZSCAN31
SP1,ADCY2
BHLHE41,FRMD4A
GFI1,PDCD4
PPARG,DNAJA2
CREB,FSCN1
ELK1,ZNF846
IRF,BHLHE23
CREB3,LSAMP
NR2C2,MAPKAPK2
AP1,GNG4
LHX6,ZIC2
RFX2,NGEF
NFKB,EVX1
MYF6,POLM
POU3F4,ADRA1D
RXRB,RANBP17
RFX3,PARK2
TAL1,XKR4
NFYA,ZMYND10
RARG,HSD3B1
TBP,CCL13
EGR1,MARCKSL1
EGR1,SERTAD1
STAT5A,DLGAP1
ASCL2,NPY
NR2F1,MAPT
NR1H,DGKZ
POU4F2,MCF2
KLF4,DDB1
FOXO1,FRMPD4
KLF16,GRIA1
HSF4,LMX1A
OBOX5,ECHDC1
CREB1,EMC10
HOXD11,INPPL1
LEF1,PHGDH
RFX5,THAP10
TFCP2,APC2
ZNF143,CLPB
MAFG,CIT
ZNF143,RPL7A
NRF1,DIP2A
BACH2,INPP5E
SP3,PPT1
ESR1,LRRC4
NFKB,CCDC65
FOXD3,KCTD4
IRF,NFIA
FOXD3,MTUS2
ETV5,IKBKG
ETS1,FBXW9
NEUROG2,HS3ST1
ZNF281,RFX4
REST,NEUROD4
FOXL1,AATF
NR4A2,KAZN
CACBP,PDPN
HMX1,SNTG1
STAT6,CADPS
TLX2,NKX2-2
CTCF,MAP6D1
DLX2,ADAMTS1
EGR1,PCOLCE
TCF3,FGFR4
FOXD1,PNOC
ETS1,HMBS
RFX7,LMNA
SP4,EFEMP2
ELK4,NCAPD2
STAT5A,BRMS1
KLF7,SLC3A2
CEBPA,ADAT3
BSX,SLC16A6
KLF7,BHLHB9
SOX5,CALN1
IRF4,SLA
LHX3,ARHGAP44
SP1,BCL2L13
FOXO3,PLAU
EGR1,DHPS
SP3,MPP7
HNF4A,C3orf18
PAX4,RNASEH2B
SP1,ATP6V0A4
IKZF2,TCF7L2
GBX1,FIZ1
LHX9,PTCHD2
SP1,PDDC1
POU1F1,PCDHA8
ZBTB14,ADRA1D
CREB5,EFNA2
GATA,NR2F1
HOXA3,RAB27A
HOXA4,LAMB3
HOXD10,ZBTB10
HSF4,MANBAL
HF1H3B,NCR2
NFIL3,F11
KLF14,CAPNS1
POU4F3,RGS19
SP4,TMEM170A
TAL1,MAT2A
FOXA,OMG
EOMES,TSPAN12
HOXD8,CLTC
KLF16,DERA
RXRB,ERO1LB
LEF1,SEC61B
ETS1,SEMA4C
RFX3,LY6H
RXRG,FRS3
ALX1,COL11A1
RFX3,PCYT1B
TEAD1,CACNB2
SP1,NEIL2
FOXA2,MRPS36
RELA,TNFAIP1
NKX3-2,BMP10
REL,HUWE1
IRF,MMP25
RFX2,CAMKV
GLI2,COL19A1
E2F1,LPAR1
NR2C2,VPS37D
ELF4,SLU7
HOXD9,COL4A5
RFX4,STARD13
KLF7,SFR1
EGR1,CEP85L
MYBL1,GLIS3
SOX4,SOX4
TCF3,NEK6
FOXC1,CELF4
RELA,SLC32A1
MEF2A,SLC22A17
MEIS2,PPP1R16B
SPIB,ARHGEF3
ZIC2,MYO9A
ELF1,TAF12
HOXB5,BACH2
RARG,TRIM58
SP1,ZNF45
GFI1,ZNF574
ATF1,CDK5R1
GSC2,SYCE2
TLX2,RND3
PATZ1,PIK3C2A
FOXJ3,FUT8
FOXD3,PCDHA8
PHOX2A,MEDAG
RXRA,GPSM1
SP3,CCNB1
EN2,TRUB2
ATF1,BTRC
FOXD1,SFMBT1
ELF1,RBM28
ELK3,POLI
EHF,DLGAP1
KLF13,EIF3J
HOXB3,ARVCF
KLF4,POLR3E
HOXD9,TNKS
GLI2,USF1
E2F2,GABRG1
MEF2A,LRIT3
RFX7,DNAJC10
TGIF2,ZNF804A
HF1H3B,ALDH1L1
NR2C2,AGXT
MYF6,FIGN
IKZF2,RIMS2
RFX4,THTPA
ETS,CREB3
EWSR1,SLC9A4
KLF4,CDKN2A
SP8,CLCN6
NKX2-4,ARHGEF25
PPARG,MRPL11
SP4,ZKSCAN5
ZBTB18,ZFP90
POU3F4,OTX2
KLF4,SYNGR4
MEF2D,SMARCB1
BHLHE40,ST6GALNAC3
HOXB5,RBM15
NFY,RPS6KL1
SOX2,ARHGEF26
ERG,MRPL13
LHX3,HAAO
POU2F1,GJA3
JDP2,TMEM59L
TFAP4,TAOK3
CACD,FXR2
SP8,RIMS3
POU2F1,GDPD1
SOX7,ADH4
NFIC,PGP
HOXC11,GNAI1
CACD,FBXO11
SP1,KIAA1432
CTCF,PCP4
BARHL2,SLC24A4
ZNF652,ZNF75D
NFY,PLEKHG5
CREB1,LGR5
SRF,SHD
FOXC1,ATG13
KLF7,VPS8
IRF,IGFBP7
IRF6,NUBP1
KLF16,RREB1
ETS1,DPPA4
RARG,MSH4
MYOD1,PTPRM
ELK4,HMBS
FOXC2,C2CD4A
ELK4,BUD13
E2F8,ST6GAL2
TCF4,TMEM186
IRF,ERI2
POU4F2,REEP3
REL,C14orf23
PAX4,S100A16
TGIF2,SCN2B
ASCL2,LCE6A
CREB,SLA2
TBX1,C19orf57
POU1F1,PTCD2
MESP1,LAMA4
RFX4,VMA21
PKNOX2,TACC2
POU3F1,CHRNB3
IRF,PRR11
MEOX2,TLR10
GATA4,CLDND1
ETS1,POMP
MYCN,G6PC3
FIGLA,SPAG16
REL,ANGPTL4
NR5A2,SLC44A2
HERPUD1,NACC1
ELF3,ETAA1
USF,MGMT
KLF4,ADAM11
ATF6,COQ10A
EVX2,RPP38
ETS2,BLOC1S2
GABPA,GNPTG
KLF7,ANP32A
TEAD4,ZNF106
IRF7,PLEKHF2
ETV7,ADPRHL2
CTCF,FYB
UNCX,C1orf198
CREB3L1,RABAC1
PATZ1,GPM6A
NR2F6,ADA
TCF21,MEX3A
RARG,TMEM51
SP1,WNK4
ETS2,PLEC
POU3F1,CTNND2
DMBX1,BCMO1
CREB1,ZNF335
NR2F6,REPIN1
ALX3,DAB1
HSF1,ZC3HAV1
NFE2L2,SLC8A1
YY1,ATP5J
ZNF281,TP53I11
FOX,GRIK5
OTX1,ARL6IP1
FOXJ2,EPB41L3
SOX10,JPH3
SP4,IFT88
SPDEF,ZDHHC9
SOX4,CHM
ETV6,FLOT2
HSF1,C17orf67
RFX3,LRRC43
SP1,MPV17
SP1,GLS2
HBP1,KCNJ6
E2F3,PPP1R21
ELF1,CDK7
E2F3,OLIG1
FEV,MAK16
PATZ1,SLC32A1
IKZF2,GAP43
RHOXF2,EIF6
ESX1,ARL8A
SP3,WIPF2
DMRT3,EPB41L1
MNX1,MAN1A1
ETS2,RAI2
ELF4,PYROXD1
EHF,ZNF671
KLF7,LACE1
NFY,AGFG2
KLF14,RPL24
ETS,DAB1
OTP,TMEM260
PPARA,TIGD3
PHOX2A,EYA3
NR2F6,BBX
POU1F1,NEUROG1
ALX3,LRRN3
KLF4,SLC45A1
SCRT1,PKIG
ETS1,COPS7A
SOX2,RGMA
RXRG,RIT1
EHF,CPEB4
NKX6-3,ZC3H12C
HINFP,ONECUT1
NR6A1,IL18R1
OTX,HEY1
HOXB13,SHROOM3
FOXK1,FCHSD2
RXRG,PPP1R37
PITX1,RPS15A
DLX1,CDC23
TFAP4,RTFDC1
RELA,PTP4A3
SP1,PPP1R26
GATA3,DAB2
SOX5,MARCH10
YY2,C2CD5
CRX,HIPK2
NHLH1,SLC13A5
RFX7,HNRNPUL1
RFX2,TSGA10
SP4,NMNAT2
TCF21,ETS1
NKX2-5,ARVCF
ZBTB14,SPAST
ARID3A,SMARCAL1
REL,C17orf49
NFKB,ABAT
HOXC10,NCOA2
EGR1,RNF19B
REST,CDK5R1
ZNF75A,CCDC88A
EGR,PRKAR1A
ALX4,WRNIP1
ETV4,ANKRD42
DOBOX5,GALNT12
STAT5A,ACTRT3
GSX1,SERPINC1
OTX1,CRABP2
IRF9,KCMF1
POU2F2,HIST1H2AJ
SP4,POP5
MEOX2,OPRD1
ZNF281,FMN1
TFAP4,NRSN1
RFX4,SLC4A8
SHOX2,B4GALT5
SP4,ENTPD4
SP8,APLP2
NFYA,IMMP1L
RFX2,MAP9
NR2C2,MLYCD
HOXC5,ARL4C
SOX15,SEMA3A
FOXD3,SLC35D1
PITX3,STIM2
SP3,BRD2
TCF7L1,PDE6H
PRRX2,FNIP2
HNF4A,GPRIN3
HOXA3,TFAP4
ERG,GALK2
NFAT,FXYD6
HOXD9,KRTAP3-2
YY2,STARD7
NFE2L2,ZNF12
KLF7,MIDN
NOTO,KLHL14
ATF7,SLC38A6
MYC,NR1D1
POU1F1,DDX50
ETV7,DLK1
LEF1,PDLIM4
POU4F3,PARVB
KLF4,RAB11FIP5
HOXD11,SCRG1
EN2,HAAO
CREB1,OSTC
POU3F2,PAGE4
ELK1,U2AF2
MSX1,PLEK
TGIF1,RSU1
ATF2,CACYBP
SP1,SYNGR4
MAX,GPR156
PRRX2,VIM
OTX2,DDAH1
POU3F3,TET2
RFX2,WBP2
NFE2L2,UBLCP1
NR2F2,CHST14
NR4A2,PPARGC1B
RARA,SPATA12
NFY,SEMA4B
FOXI1,DCLK1
GATA1,EPC2
HSF4,SRC
ELK4,TOMM20
RUNX2,NEMF
GATA,FABP2
ESRRG,RBM39
KLF7,METTL7B
TBP,PGA3
ONECUT1,MARCKS
TFAP4,CACNA1S
KLF14,TMEM43
NRF1,SMIM11
NR2F2,SIK1
SP3,REL
MNT,SYT3
KLF16,GPRASP1
RFX5,NEGR1
BRCA1,SATB2
KLF7,ANG
ETS1,ORC4
NFIC,GPR83
HESX1,TFDP2
SP8,HSPA1A
EVX1,PSMD5
HOXD10,ZC3H4
NR2F6,PFKM
ETV6,TMX3
ELF1,FBL
GBX2,KRT75
POU3F4,CSMD3
HEY2,GAS7
FOXJ1,TGFBI
SP1,CCAR1
VSX1,PREX2
HOXB5,TUBA1B
NR5A1,CEPT1
KLF14,SLC41A1
ELK1,SIRT7
ALX1,CMTM1
DLX4,CA12
ETS1,LCP2
IRF1,RCBTB2
KLF16,TMEM38B
ETS1,COPZ1
ETS1,DAPK3
PPARG,NUTF2
VSX1,PARVB
EBOX,OGDHL
GABPA,NSUN6
LMX1A,KIAA0825
NFE2,ICA1
HOXB3,MDM1
EMX1,TMEM206
ZNF143,IK
TCF3,SMTNL2
GSX2,HLA-DPB1
IRF3,INPP4A
HIC1,EPHA10
FOXD1,GLDN
SP1,GPANK1
SP100,FAM181A
ESRRG,NSL1
RFX4,ZC4H2
MYEF2,AVL9
FOXC1,CCDC102B
HBP1,ST3GAL3
SRF,NPPA
SOX15,RD3L
EMX1,GPM6B
RUNX3,CPEB4
CPEB1,SLC9B2
TFEB,FAM21C
IRF7,RPS6KA3
HOXC13,TBXAS1
ETS,TMEM178A
KLF12,ZNF699
POU,LIPG
DLX1,S100A8
GABP,GPAA1
GABPA,LDOC1L
SP1,PYURF
DMBX1,LPHN2
SPIB,LRR1
RFX3,ZNF473
ETV3,C22orf23
YY1,HIST1H3I
IRF7,CELF3
TBX21,RALGAPA2
JDP2,SLC1A2
ZNF740,KIAA0753
ATF7,UBQLN1
ARID5B,KLHL13
ZNF740,RFX7
MSX2,LIF
POU4F3,ZBTB38
SP1,DCTN2
HF1H3B,TF
KLF7,DNM3
RUNX1,UTP3
LHX1,PLXNC1
RBPJ,FMN1
SPIB,FOXP1
NR4A2,FGD4
KLF14,PABPC1
STAT,CYYR1
NKX2-5,TRIM9
ETV7,CRB1
IRF9,NUBP1
IKZF2,MAPRE2
RFX4,TSR3
NFY,PANK1
ZNF143,SEZ6L2
MSX1,NPM1
FOXJ2,CPVL
TCF4,PPP6R1
MZF1,ANKS1B
CEBP,SCNN1B
KLF16,FH
BARHL1,EPB41L3
SP8,VAX1
ETV3,LDOC1L
HMX1,FH
POU3F2,ANKRD28
ESRRA,CPNE5
MYEF2,TRNT1
SP4,ELL
PDX1,MXRA7
ASCL2,RAB10
GATA1,TMBIM1
TBX21,KIAA0825
SP1,TBC1D4
EGR4,ZYG11B
STAT5A,NDUFV2
CEBPG,YAE1D1
ARID3A,UQCC1
BSX,ELK3
E2F4,E2F8
REL,N4BP3
FLI1,TCOF1
ETS,COL13A1
LMX1B,CDC23
DMBX1,METAP1D
ZIC3,LINGO1
POU1F1,ZFHX3
SP1,GPSM1
MYEF2,LARS
VAX2,C20orf112
RELA,TMCO6
SP1,YWHAG
SP1,ALDH6A1
MEF2D,KLHL41
IRF,EPB41L3
AR,PSMB1
LEF1,C16orf70
POU3F4,ATP5G2
RFX7,LRRC48
FOXA2,NTRK3
NFY,PCDHGA11
HNF4A,NHSL1
SP1,ARL2BP
HOXA10,PPFIA2
SP3,FADS6
PRRX1,SEPT5
RARB,IVNS1ABP
NFYA,MEF2D
MNX1,HRK
NKX1-2,UCHL5
E2F1,COMMD3
LBX2,VAV3
NFYA,B3GALT6
PPARG,S100A1
GLI2,C14orf23
ATF7,CCNI
GFI1,SLC39A14
PAX8,TMEM235
ZBTB18,VPS35
KLF16,KIF16B
TFAP4,CLPB
KLF7,ZSWIM5
CEBPG,MEPE
ZIC4,KCNIP4
TFE3,FOXM1
EBF1,CDYL
CACD,KCNA4
RFX7,FGF3
ITGB2,SLA
CACBP,RYR3
FOXI1,PGAP1
USF,SECISBP2
SP4,C21orf33
SPIB,TTF2
TCF4,KLF15
MYOD1,GFI1
ISX,FAM214A
EGR,HMX1
AP1,TOMM7
SP4,SLC5A3
KLF7,RAB3IP
ZIC1,THBS1
SP1,NXPH4
FEV,STK36
ETV5,METTL23
CPEB1,STX19
ELF4,SYNRG
FOXJ3,ARF3
HOXD12,PDE4D
GABP,LYRM5
MEF2D,DERL3
KLF14,CBX8
HOXD11,ANGPTL3
SP4,GRIPAP1
CEBP,MEIS2
IRF5,CD200
TFAP2A,LST1
KLF7,MRPL14
GATA5,FBXO45
FOXJ2,PITPNA
PAX6,SESN3
ETS1,SMIM20
ETS1,GALNT4
EN2,EIF4G3
FOXQ1,RASGRP3
EN1,CPS1
HOXC13,GP2
TCF12,RASAL1
HOXB13,CHST8
GSC,FBXO3
SPDEF,BLOC1S6
MLX,NR1D1
OTX2,TRAF6
ZNF281,LRRTM4
RARA,TET2
ZNF143,CXCL12
E2F4,CCDC94
ATF2,RAB11FIP3
RFX3,MARCKS
RXRA,RPL23
GABPA,INSIG2
ZIC4,ESCO1
MEOX1,PPP1R1C
PATZ1,MSX2
SP1,EMP3
SP1,POLR1A
TBP,CHAD
BACH1,BROX
PHOX2B,SMIM4
FOXC2,MURC
ETV3,HERC4
ETV7,RPF1
PBX1,PTK2
GATA3,PPT2
E2F3,COPS7A
MYB,GLIS3
CREB,CIRBP
VAX2,TRPM8
HOXC6,ZC3H12C
SOX21,PCDHB5
RXRB,FOXN3
BACH2,RPL37A
XBP1,SRRD
HDX,TM7SF3
ESRRG,TNFAIP3
NFE2L2,TXNL1
TCF7,DSTN
RFX1,IL34
HMX3,CNOT3
AP1,ZNFX1
KLF4,PRUNE2
HOXB9,SATB2
RORA,OLIG2
OTX,RAPH1
HOXC11,ACSL6
SP8,ZBTB49
PATZ1,MEF2C
PHOX2B,GPSM1
CPEB1,LAS1L
ETV7,ZNF34
USF1,ALDH3B1
HF1H3B,COL11A1
POU5F1B,CRYZL1
HSF4,RRM2
GABPA,TGS1
HOXA4,TNIK
KLF16,ELF1
ESRRA,INHBA
NKX2-5,NRXN1
HMGA1,CTNND1
FOXC1,JARID2
EGR1,SH3BP1
PKNOX1,RNF220
MYOD1,FLNC
SP4,UBL7
HOXD10,TMOD1
SOX4,TFAP4
XBP1,JOSD1
AP1,SH3RF2
POU6F1,PCDHGA3
ELF4,L3HYPDH
ETV3,SSR2
ARNT,RBM5
GRHL1,A2ML1
MEIS2,TCF19
ZFX,C17orf85
ZNF75A,DLK1
E2F4,DCLK2
ETS2,PCBP1
TCF3,CTRB2
TLX2,GC
POU5F1B,DFNA5
ETV1,TMEM68
HF1H3B,HBG2
MEIS1,HNRNPH1
SP1,MTMR3
HOXC10,PRM2
RFX5,METTL15
MSX1,GPM6A
RREB1,FBXO2
FEV,CALU
TAL1,RGS12
TFEC,TMEM116
ELF4,BOD1L1
FEV,TCEA2
GABPA,PPP4C
RARB,SPATA12
RFX5,RIN1
USF,ILVBL
USF,DHX35
KLF4,SALL1
SP3,WDR44
TFEB,RBM5
BACH1,C17orf85
NFE2L2,ALDH1A2
HSF4,HLA-DPA1
GABPA,ZNF333
POU6F1,TMEM212
MYC,KCMF1
ZNF143,RPP21
LEF1,MRPL11
ELF4,TRAF3IP1
ELF1,UBXN2B
POU2F3,PDZRN4
HSF2,ERG
PKNOX2,CDC6
KLF4,PWP2
LHX3,IL1R1
ELK1,BLVRA
HNF4,TAOK3
ITGB2,SMG9
TCF12,MT2A
DLX4,PPP1R12B
ETV7,LEMD1
EWSR1,JMJD1C
MEOX1,KIF20A
SP4,BAG4
NRF1,TAF12
ELF4,ALAD
SP4,NFE2
AP1,KDR
SOX10,ELSPBP1
TFE3,DOLK
USF1,XKR9
GABP,NDUFS1
KLF7,TMEM87A
KLF12,NUCKS1
KLF16,PABPC1L
ETS1,ARPC5L
HOXC11,ARPP21
TFAP4,FAM124B
LEF1,IGSF23
ELK1,SBNO2
EN1,PKDCC
HNF4A,GCNT2
HMX3,DDX58
EGR1,TWF2
ZBTB18,PPP1CB
ETS1,EMC8
HOXC11,ASPA
EGR,AKT3
ATF4,ECE1
ARNTL,H1F0
RFX3,SDC3
GBX1,TTC31
PAX4,DNMT3B
ETV3,EXOC5
CREB,TPM4
CREB3L2,VSNL1
CREB3L1,STX5
MYF6,TP53BP1
ETS2,ZNF462
YY2,ATP6V1A
ATF3,SLC25A25
KLF7,LIN7C
RFX1,CTDSP2
DLX6,GNRH1
SOX21,ZEB2
ALX4,HES4
HNF4,ARF3
VSX1,GPR141
NR2C2,MTUS1
MYB,SEMA6A
KLF7,MTCH1
FOXJ3,CASP7
GATA1,KLHL1
TFE3,LIN28A
HSF4,USPL1
CUX1,MBNL1
ARNT,MTCH1
RFX5,A1BG
HMX1,C7orf13
MEF2B,TP53RK
ETV4,WDR25
ATF1,ZBTB20
SPI1,NYX
ETS1,NSMCE1
NFYA,MTR
REL,CCL20
SP1,ATP13A2
RFX7,C1orf141
TFE3,VPS16
KLF16,LPIN3
ATF1,PMEPA1
MEIS3,LMO3
CTCF,NME2
ZNF652,ETNK2
MEF2B,NEUROD4
YY1,HNRNPA1
POU2F2,DPYSL3
ELF2,GPR137B
KLF4,TXNL4A
NR2F6,MTF1
AR,TNF
E2F8,GPR6
PKNOX1,GEMIN6
REST,CLDN7
MEOX2,ANP32B
SP1,GTF2A1
ETV4,ZNHIT1
SOX4,B3GNT5
ZBTB14,R3HDM2
PITX2,SIAH3
RARG,SEPT9
KLF7,DMRTA1
RFX7,FNTB
KLF16,DESI1
HNF1,RSPH3
LHX8,CLDND1
KLF14,TMEM256-PLSCR3
CREB,CCBL1
ELF3,AP3S2
CTCF,SUCLA2
EGR,SLC6A12
BACH1,RB1CC1
ETS,FKBP3
LHX1,UNC5D
CREB3L1,GOLGB1
POU,HIST1H2BJ
HSF2,ANK2
CEBPG,CNOT7
IRF8,MRPS15
IRF9,NAV1
YY2,MYNN
ZBTB14,KCNJ5
MAFB,CLSTN3
HNF4,CSPG4
SP1,HMG20A
FOXA2,MAMDC2
TCF21,GAS2L1
FOXC1,FPGS
HF1H3B,SLITRK2
KLF14,DCP1B
BRCA1,SMOX
HOXA4,HOXB3
NRF1,PDE4DIP
E2F1,SLC25A11
BACH1,DUSP5
HIC1,C9orf129
PAX7,TRAM1
INSM1,BAI1
USF1,PICALM
ETS2,NCK2
NR2F1,RNF150
POU2F3,NDUFA13
NFYA,EHF
HOXC10,PHACTR1
PRRX1,LARP4B
FOXP3,STK38L
BARHL1,KCNJ13
EHF,TMEM138
HMX3,SMAD7
GABP,ZKSCAN4
TFAP2A,CPLX2
SP3,TMEM9
SP8,NUP210
NFY,HYKK
NKX2-8,CHN2
HF1H3B,SEMA5B
ETS1,MYH9
ETV7,ZMAT3
ESRRA,CALCRL
RUNX2,PAK1IP1
PKNOX1,GGACT
MEOX2,HMX1
LHX9,RIMS2
EGR1,HTR4
SREBF1,RRAGD
FEV,CXADR
CACD,ADCK4
NKX6-2,MET
KLF7,DACH2
ETS2,SH3BP5
NRF1,GTPBP8
CTCF,DSTN
ETV6,EDC3
EWSR1,DPYSL2
EGR3,ZMYND15
ARX,STMN4
HOXC12,YES1
IRF2,EIF2AK2
ESRRB,FGF2
HBP1,RIOK3
NKX6-3,FHDC1
ASCL2,MPP2
FOXD3,MMRN1
NEUROG2,KHDC1
ZNF219,KCNJ5
SP1,HIST1H2BO
FLI1,SLC26A4
SP4,SRR
RFX2,C10orf53
IRF3,ZSWIM1
RARA,CRYAB
HNF1B,GPD2
RUNX,PDE7B
HF1H3B,UTP11L
HNF4,FHL1
SP1,IPP
GABP,DHX8
MGA,RASGEF1B
NHLH1,ATP1B2
NR3C1,LRFN2
TCF3,NUBP2
MSX2,SGTB
NFYA,NUMBL
PITX1,PRSS57
SP8,CHERP
RUNX1,ZNF76
OBOX5,UBAC1
AP1,ANXA5
ESRRG,PCOLCE
TBX21,RASGEF1B
HOXD8,SPTLC2
NRF1,ARL3
SOX21,MAN2A1
SP1,KL
RFX5,TFEB
ELF3,UGGT1
HOXA11,HGF
PITX2,PPP2R2B
RHOXF1,DLG3
ZNF219,RQCD1
STAT5A,KCNIP2
DMRTC2,NECAB1
NHLH1,FAM57B
RXRB,LRRK2
LHX9,GBX2
ETS,CDC27
MEIS1,B3GAT3
HF1H3B,BAG6
RUNX3,CCM2
MAFG,AFM
RFX3,SDE2
SP8,RPL22
HOXB3,GNPDA1
KLF4,SLC9A6
TFEB,CHN2
RARA,GLG1
SP8,RNASET2
POU2F3,SMS
ZFX,RELN
TFCP2,GPCPD1
BACH2,RAB6A
EGR,ATG12
HERPUD1,C1QBP
HOXD3,ZC3H4
ERG,APLN
ESRRA,ZNF805
CPEB1,ANKRD28
SP3,CCNO
SOX4,LIPA
ELF3,ZNF787
TGIF2,LDHAL6A
ZIC2,SALL3
FLI1,GPR56
SP4,BCKDK
RFX2,ERH
GSX2,FIZ1
MAFF,UNC45A
RFX1,SPAG16
SP4,SLC1A4
PPARA,NOTUM
THRB,PLEKHG3
ISX,IRF2BPL
ETV3,MUL1
CREB,DUSP8
RFX4,C8orf74
ZNF740,GCC1
SOX11,PLCXD2
ETS2,CXorf36
MEF2A,WDR44
CTCF,MARC1
NHLH1,PVRL1
NKX2-8,RASA2
TFCP2L1,GABRB2
ATF7,SOX2
KLF16,PLEKHG5
HOXC13,SMAP2
TCF12,KCNA6
YY2,NAF1
ARNTL,LRIG3
TEAD4,CHD9
YY2,CXXC1
KLF16,GGA1
ETV5,TUBGCP6
SP3,RAB11FIP5
FOXC1,EGFR
SP4,CTHRC1
OBOX5,PARD3
RFX2,CORT
ZBTB14,MKNK1
E2F1,OARD1
TFCP2L1,TIAM2
CACD,AP1AR
ATF2,RPS11
FOXO3,FOXO1
ETV6,BMP2K
NFY,DTL
MEF2A,RPL19
VAX1,LRRC4C
NR2F1,INPP4A
RFX4,GLB1L
LEF1,RCAN2
RARG,AP4B1
ETS1,AMD1
TP73,SLC44A1
HNF4A,MMP11
SP1,DTL
SP1,SAV1
SP1,ETNK1
ZIC1,GRAP2
PITX3,DIP2B
RFX4,BBS12
FLI1,TTC30A
STAT1,SSBP4
ALX3,NME5
NR5A2,C19orf40
TCF21,XPNPEP2
FOXO1,C1R
NFE2L2,KCTD5
KLF7,SEPHS1
HSF4,GPR37L1
KLF13,CES2
ZNF281,ATXN7L3
MEIS3,SPRED1
UNCX,PPP1R1B
LEF1,GINS3
ALX1,GPR89B
HNF4,CRB2
HOXC10,MOB3B
HERPUD1,SNRK
NRF1,DNAJC8
SP1,NTRK3
HOXB9,COMT
JDP2,EOMES
TFAP2C,CBX6
PDX1,BCL11B
SP4,DTNBP1
HOXC12,NR2E1
EGR1,GPR52
SP4,PGRMC2
