from	to	module_progression	start	burn
0	1	+1	TRUE	TRUE
1	2	+2|+3|+4|+5|+6|+7|+8|+9|+10|+11|+12|+13|+14|+15|+16|+17|+18|-1|-2|-3|-4|-5|-6|-7|-8|-9|-10|-11|-12|-13|-14|-15|-16|-17	FALSE	FALSE
